episode,timestep,reward
1736,1502000,172.6284
1739,1504000,58.2522
1741,1506000,45.7267
1745,1508000,21.3237
1747,1510000,158.4279
1749,1512000,77.5035
1751,1514000,113.6167
1753,1516000,158.3813
1755,1518000,162.4092
1757,1520000,169.4832
1759,1522000,165.5307
1762,1524000,46.4932
1764,1526000,157.139
1766,1528000,151.121
1768,1530000,162.9791
1770,1532000,89.0845
1772,1534000,164.7611
1774,1536000,165.0947
1776,1538000,75.4081
1780,1540000,28.6013
1782,1542000,161.2449
1784,1544000,86.2981
1787,1546000,75.9713
1789,1548000,172.1017
1792,1550000,65.0159
1796,1552000,-2.4497
1798,1554000,157.7083
1800,1556000,166.9154
1802,1558000,169.0813
1804,1560000,160.1196
1806,1562000,167.0049
1809,1564000,34.3842
1812,1566000,93.387
1814,1568000,160.1475
1816,1570000,163.7684
1819,1572000,77.7465
1821,1574000,156.7729
1824,1576000,-17.5255
1826,1578000,163.5028
1829,1580000,76.2766
1831,1582000,166.0056
1833,1584000,166.6182
1836,1586000,85.993
1839,1588000,-24.6764
1841,1590000,162.3043
1844,1592000,68.6826
1846,1594000,163.1744
1849,1596000,74.8982
1851,1598000,168.8565
1853,1600000,171.536
1855,1602000,170.4557
1857,1604000,160.7205
1859,1606000,171.4207
1861,1608000,160.9643
1863,1610000,101.5788
1865,1612000,185.4873
1867,1614000,167.0919
1869,1616000,110.1939
1872,1618000,92.8079
1874,1620000,163.3861
1876,1622000,171.5812
1878,1624000,165.2996
1880,1626000,173.5522
1883,1628000,92.8111
1885,1630000,170.0377
1889,1632000,3.9462
1891,1634000,162.4594
1893,1636000,72.3462
1895,1638000,153.012
1897,1640000,162.2228
1899,1642000,164.3277
1901,1644000,173.7688
1903,1646000,163.2437
1905,1648000,164.8647
1907,1650000,176.2484
1909,1652000,167.1171
1911,1654000,175.8707
1913,1656000,166.5994
1915,1658000,165.3804
1917,1660000,165.3371
1919,1662000,180.522
1922,1664000,79.0051
1924,1666000,171.955
1926,1668000,169.1125
1928,1670000,160.6749
1930,1672000,158.3527
1932,1674000,169.5513
1934,1676000,167.6186
1936,1678000,166.1327
1938,1680000,169.1277
1940,1682000,154.9145
1942,1684000,71.5167
1944,1686000,166.1047
1947,1688000,99.1851
1949,1690000,154.7327
1951,1692000,172.8556
1953,1694000,173.7413
1955,1696000,161.2977
1957,1698000,109.6539
1959,1700000,164.6159
